Titulo,Categoria,Resumo,Data,Status
"
Fenômeno Aphelion chega amanhã e vai trazer nova onda de frio  ",ciencia,"Terra vai ficar mais longe do Sol amanhã, por causa do fenômeno Aphelion, e clima vai ficar mais frio do que o normal até agosto.",25/04/2022,1
"
Asteroide 2009 JF1 vai destruir a Terra em maio de 2022  ",ciencia,Asteroide de 130 metros e com força de 250 mil toneladas vai se chocar contra a Terra no dia 6 de maio de 2022,13/01/2022,1
"
Aranha se esconde na praia, parece obra de arte e tem veneno mortal  ",ciencia,"Aranha de espécie mortal, que parece uma obra de arte enterrada no chão, se esconde em praias no Brasil. ",09/11/2021,1
"
Há um Vulcão em Ribeirão Preto (São Paulo) prestes a entrar em erupção  ",ciencia,Fumaça tóxica que está saindo do solo em Ribeirão Preto (São Paulo) é de um vulcão prestes a entrar em erupção.,05/11/2021,1
"
Perigeu da Lua gigante entre o Canadá e Rússia é mostrado em vídeo  ",ciencia,"Vídeo mostra o fenômeno da Lua chamado Perigeu entre o Canadá e a Rússia. No vídeo, a Lua fica gigante, causa um eclipse solar e desaparece.",27/08/2021,1
"
Misturar diesel na gasolina melhora desempenho do carro  ",ciencia,"Em vídeo, tiktoker mostra segredo para melhorar o desempenho do carro utilizando gasolina comum e diesel S10. ",24/07/2021,1
"
Lua no Ártico (entre a Rússia e o Canadá) fica gigante e cobre o Sol, mostra vídeo  ",ciencia,Vídeo mostra o momento em que a Lua fica gigante por 30 segundos e cobre o Sol por cinco segundos. Eclipse ocorreu entre a Rússia e o Canadá. ,27/05/2021,1
"
Ovnis são filmados em Jaraguá do Sul (SC), mostra vídeo  ",ciencia,"Em vídeo, ovnis aparecem sobrevoando município de Jaraguá do Sul (SC). Tudo foi flagrado por um morador da cidade. ",29/04/2021,1
"
Céu de Marte e som do planeta vermelho são mostrados em vídeos do Perseverance  ",ciencia,Vídeos da Perseverance mostram céu de Marte (que se pareceria com o da Terra) e som registrado no planeta vermelho.,03/03/2021,1
"
Fenômeno do equinócio nos afetará nos próximos 5 dias (em 2021) e trará calor  ",ciencia,"Nos próximos cinco dias, em 2021, teremos um forte onda de calor causada pelo fenômeno do equinócio. É por causa dele que há altas temperaturas no Brasil. ",01/02/2021,1
"
Forte onda de calor fará fevereiro de 2021 ser o mês mais quente da história  ",ciencia,Institutos de meteorologia como o Inmet e institutos do Chile alertam que fevereiro de 2021 será o mês mais quente da história por causa de uma onda de calor do fenômeno do equinócio. ,31/01/2021,1
"
Foto mostra lagarta venenosa que leva à morte em questão de horas  ",ciencia,Foto mostra lagarta venenosa que leva a morte em questão de horas se não for utilizado soro.,09/10/2020,1
"
Naja gigante é vista na China e pode chegar ao Brasil  ",ciencia,Foto mostra uma cobra naja gigante que foi vista na China e pode chegar ao Brasil. Isso mostra que é o fim dos tempos mesmo.,06/10/2020,1
"
Escorpiões cresceram e se reproduziram dentro de berinjela, mostra vídeo  ",ciencia,Vídeo mostra momento em que escorpiões saem de dentro de uma berinjela após crescerem e se reproduzirem dentro do alimento. ,01/10/2020,1
"
Lonomia é mais venenosa do que cascavel e não existe soro para o seu veneno  ",ciencia,"Cuidado porque estamos na época da lonomia, que é uma taturana mais venenosa do que cobra cascavel. Não existe soro para o veneno da lonomia.",23/09/2020,1
"
Teste de unha identifica se há alguém lhe espiando em um espelho de duas direções  ",ciencia,"Para identificar se você está sendo espionado através de um espelho de duas direções, basta fazer o teste de unha e ver a profundidade do seu reflexo. ",18/09/2020,1
"
Sarah Gilbert selecionou três filhos entre as cinco primeiras pessoas a testarem vacina de Oxford e a prometeu para setembro  ",ciencia,A cientista Sarah Gilbert selecionou três filhos entre as cinco primeiras pessoas a testarem a vacina de Oxford e a prometeu para setembro.,12/08/2020,1
"
Dragão Azul (Glacus Atlantucus) é um dos animais mais venenosos do oceano  ",ciencia,Vídeo mostra um Dragão Azul (Glacus Atlantucus) em Salvador (Bahia). É preciso ter cuidado porque ele é um dos animais mais venenosos que existem no mar. ,03/08/2020,1
"
Aranha com rabo de cobra é encontrado por dona de casa, mostra foto  ",ciencia,"Escorpiranha, aranha com rabo de cobra, é encontrada por dona de casa, mostra foto compartilhada na internet. ",19/07/2020,1
"
Bioluminescência em ondas do mar da Califórnia (EUA) ocorreram por causa de quarentena  ",ciencia,Fenômeno bioluminescente ocorre no mar da Califórnia (EUA) após a diminuição de turistas no local por causa da quarentena.,19/05/2020,1
"
Praia de Botafogo, no Rio de Janeiro, ficou limpa por causa da quarentena  ",ciencia,"A Praia de Botafogo, no Rio de Janeiro, ficou limpa por causa da quarentena. Um vídeo mostra as águas cristalinas após 60 dias de isolamento social.",19/05/2020,1
"
Vespa “assassina” que chegou aos EUA foi criada em laboratório da China  ",ciencia,A vespa “assassina” que chegou nos EUA foi criada em laboratório na China e foi filmada matando um rato em poucos segundos. ,10/05/2020,1
"
Tasuku Honjo, ganhador de Prêmio Nobel, diz que o coronavírus não é natural  ",ciencia,"O professor japonês Tasuku Honjo, ganhador do Prêmio Nobel, declarou que o coronavírus não é natural. Ele aponta que se trata de um vírus criado em laboratório. ",27/04/2020,1
"
Asteroide gigante vai bater na Terra em 29 de abril de 2020 e será o fim do mundo  ",ciencia,Nada emite alerta sobre asteroide que vai se chocar contra a Terra no dia 29 de abril e pode acabar com a raça humana. ,10/04/2020,1
