Titulo,Categoria,Resumo,Status
"Max Born, o físico quântico que alertou o mundo sobre 'a causa de todos os males'",ciencia,"Avô de Olivia Newton-John e amigo de Einstein, ele foi um dos cientistas mais proeminentes do século 20, mas não tão reconhecido quanto seus pares.",1
"“A contenção do idoso é uma manifestação de etarismo”, diz especialista",ciencia,O enfermeiro Rômulo Delvalle faz parte do Ministério Público do Rio e trabalha para mudar prática adotada em instituições ,1
Hubble flagra 'nuvens celestiais' e estrela vermelha supergigante se recuperando de explosão,ciencia,Nova imagem e dados científicos do telescópio espacial lançado em 1990 foram divulgados nesta semana pela Nasa e a Agência Espacial Europeia. ,1
"O que é a arquitetura passiva, com casas onde não se passa calor nem frio e que quase não consomem energia",ciencia,O conceito surgiu com a crise do petróleo dos anos 1970 e tem o objetivo de reduzir o impacto energético dos edifícios.,1
Como escovar os dentes direito? O que diz a ciência,ciencia,"Escovar os dentes de maneira eficaz reduz as chances de contrair uma série de doenças crônicas, além de manter os dentes e gengivas saudáveis — mas a maioria de nós está escovando errado.",1
Historiador desvenda origem de povo escravizado na mineração de ouro e diamante no Brasil,ciencia,"Os courás, foram escravizados pelos portugueses em cidades de Minas Gerais. Também conhecido por 'courano', o grupo fazia parte de um importante reino da África, mas acabou capturado e vendido aos europeus.",1
"Veja fotos da 'Superlua de esturjão', a última do ano",ciencia,"Fenômeno ocorre na mesma semana que chuva de meteoros Perseidas, que poderá ser vista mais nitidamente no Norte e Nordeste.",1
Entenda o que é a Superlua,ciencia,A Lua aparece maior e mais brilhante. Fenômeno acontece quando ela está perto do ponto mais próximo da Terra durante sua órbita.,1
Paternidade tardia: quais os riscos de ser pai mais velho?,ciencia,"Ainda que o homem possa gerar filhos por muitas décadas, a tendência é que os espermatozoides ‘se enfraqueçam’ com o passar do tempo, o que aumenta a probabilidade de danos à saúde do filho. Entenda por que isso acontece e como evitar esses perigos.",1
'Superlua de esturjão' será vista nesta quinta e será a última do ano,ciencia,"Para avistar o satélite natural, não é preciso nenhum equipamento especial, somente condições climáticas favoráveis. Fenômeno ocorre na mesma semana que chuva de meteoros Perseidas, que poderá ser vista mais nitidamente no Norte e Nordeste.",1
Foto de gato selvagem caçando flamingo ganha prêmio de imagens de natureza; veja outras premiadas,ciencia,Confira as fotos vencedoras do concurso Nature TTL Photographer of the Year 2022.,1
A patrulha do intestino,ciencia,Estudo mostra como funciona a barreira natural que aciona o sistema imunológico contra patógenos,1
"O que são mares leitosos, enigma que a ciência está próxima de resolver",ciencia,"Marinheiros relatam há séculos surpresa ao navegar por mares de onde brota uma luz fluorescente, mas poucos a viram e só agora estão sendo descobertos os segredos do fenômeno lendário.",1
'Superlua de esturjão' acontece amanhã e será a última do ano; veja como observar,ciencia,"Para avistar o satélite natural, não é preciso nenhum equipamento especial, somente condições climáticas favoráveis. Fenômeno ocorre na mesma semana que chuva de meteoros Perseidas, que poderá ser vista mais nitidamente no Norte e Nordeste.",1
Perseidas: como observar chuva de meteoros no Brasil,ciencia,Espetáculo de estrelas cadentes está prestes a acontecer. Mas lua cheia pode dificultar visibilidade das Perseidas neste ano.,1
Homens e mulheres: sobre diferenças e semelhanças,ciencia,Mapeamento de variáveis biológicas pode ajudar na prevenção e no tratamento de doenças,1
Nasa enviará mais dois helicópteros em missão para Marte,ciencia,Missão faz parte de um plano B da agência espacial para o transporte de amostras do solo marciano à Terra.,1
Parceria entre UFSJ e UFJF em pesquisa estuda padrão das mutações do novo coronavírus,ciencia,Pesquisadores das duas instituições analisaram dados relacionados ao combate à pandemia e efeitos da vacinação. ,1
Pesquisa da Unicamp inédita no país descobre como cepa brasileira do zika vírus atrapalha a formação de neurônios,ciencia,"Daniel Martins de Souza, doutor em bioquímica, liderou o estudo. Descoberta pode ajudar na criação de medicamentos e terapias para evitar microcefalia, causada em decorrência da infecção de grávidas pelo vírus.",1
Um pouco de psicologia positiva para cuidar melhor do dinheiro,ciencia,"Há uma relação entre emoções como ansiedade, raiva e solidão e a autoeficácia financeira, a capacidade de se organizar e atingir metas ",1
Cientista de renome se desculpa por postar foto de salame e dizer que era uma estrela,ciencia,"Étienne Klein, cientista francês que chefia o departamento de pesquisa da Comissão Francesa de Energia Atômica, postou no Twitter uma imagem que dizia ser da estrela mais próxima do Sol capturada pelas lentes do poderoso telescópio James Webb.",1
Por que Terra registrou o dia mais curto da história em 29 de junho,ciencia,"Em 29 de junho deste ano, nosso planeta viveu o dia mais curto já registrado.",1
Os polvos têm sentimentos?,ciencia,"Os polvos resolvem problemas, fazem travessuras e são verdadeiros artistas da fuga. Sua vida íntima parece ser bastante rica.",1
EUA declaram emergência de saúde por causa da varíola dos macacos,ciencia,"EUA identificaram cerca de 1,6 milhão de pessoas que são altamente vulneráveis ao vírus, mas o país tem 550 mil doses de vacina. Com a declaração de emergência, agências de governo vão receber mais dinheiro.",1
Como o preconceito contra os mais velhos impacta os cuidados na saúde ,ciencia,"A inteligência artificial precisa de informações para melhorar diagnósticos e a qualidade dos serviços, mas idosos são considerados “minoria” e estão sub-representados nos bancos de dados",1
"Água de chuva no mundo todo está contaminada com 'poluentes eternos', mostram estudos",ciencia,"Da Antártida ao Tibete, os produtos químicos de longa duração na água da chuva estão em nível bem acima das diretrizes de segurança dos EUA",1
"Mais potente que bomba atômica, erupção de vulcão em Tonga pode aquecer temporariamente a Terra, diz Nasa",ciencia,"Ocorrida em janeiro, a erupção do vulcão no Pacífico Sul expulsou uma quantidade de vapor de água para a estratosfera terrestre em proporção não registrada em 18 anos de medições deste tipo de fenômeno.",1
O que é um meteoro?,ciencia,Os meteoros são quando os meteroides invadem a atmosfera da Terra,1
Terra registra seu dia mais curto na história recente,ciencia,"29 de junho foi o dia mais curto do nosso planeta desde 1960, quando cientistas passaram a medir a duração dos dias com relógios de alta precisão.",1
Cientistas dizem ter restaurado funções de células mortas de porcos ,ciencia,"Estudo foi publicado na revista Nature. Mesmo grupo de pesquisadores já havia anunciado procedimento semelhante em 2019, que reativou atividade celular no cérebro de suínos. Novo estudo focou em outros órgãos, como fígado e rins. ",1
Terra registra seu dia mais curto na história recente,ciencia,"29 de junho foi o dia mais curto do nosso planeta desde 1960, quando cientistas passaram a medir a duração dos dias com relógios de alta precisão. ",1
O revolucionário método com realidade virtual que separou gêmeos brasileiros unidos pelo crânio,ciencia,Os gêmeos passaram por sete cirurgias com quase 100 profissionais de saúde envolvidos em ambiente de realidade virtual,1
Telescópio James Webb divulga imagem de galáxia de aparência curiosa,ciencia,"Apelidada de galáxia 'Roda de Carro', sistema está a cerca de 500 milhões de anos-luz de distância da Terra.",1
'Roda de Carro': telescópio James Webb divulga imagem de galáxia de aparência curiosa,ciencia,"Apelidada de galáxia 'Roda de Carro', sistema está a cerca de 500 milhões de anos-luz de distância da Terra.",1
A importância dos mais velhos para atenuar o trauma coletivo da Covid,ciencia,"“A convivência intergeracional mostrou que os avós tiveram papel da maior relevância para diminuir o estresse dos netos”, afirma especialista",1
O ambicioso projeto da China para criar novos alimentos no espaço,ciencia,O envio de sementes em viagens curtas ao espaço ajuda os cientistas a desenvolver novas variedades de produtos agrícolas que podem prosperar em meio às mudanças climáticas e ajudar a alimentar a crescente população mundial.,1
O misterioso vírus 'impostor' que nos protege da varíola dos macacos  ,ciencia,Imunizante é feito a partir de um vírus desaparecido que ninguém jamais conseguiu identificar — mas como isso aconteceu? E será que ainda pode existir na natureza?,1
O supertelescópio que vai investigar a origem das estrelas,ciencia,Um novo equipamento vai ajudar a reconstruir com detalhes inéditos a formação da Via Láctea.,1
Pesquisa liga beijos na Idade do Bronze a origem da herpes labial,ciencia,Estudo analisou amostras antigas de DNA para procurar origens desse vírus.,1
Os animais que fazem arte - e podem ter vantagens evolutivas com isso,ciencia,"Apreciar a beleza pode ser uma das características que nos torna humanos, mas alguns animais também parecem compartilhá-la.",1
"O que é a hipótese de Gaia, que defende que a Terra 'está viva'",ciencia,A teoria se tornou popular em universidades do mundo todo e ajuda a explicar o impacto humano sobre o clima.,1
